name,role,amount,country,team
Sam Curran,All-rounder,185000000,England,PBKS
Cameron Green,All-rounder,185000000,Australia,MI
KL Rahul,WK-Batsman,170000000,India,LSG
Ben Stokes,All-rounder,162500000,England,CSK
Ravindra Jadeja,All-rounder,160000000,India,CSK
Rishabh Pant,WT-Batsman,160000000,India,DC
Nicholas Pooran,WK-Batsman,160000000,West Indies,LSG
Rohit Sharma,Batsman,160000000,India,MI
Ishan Kishan,WK-Batsman,152500000,India,MI
Rashid Khan,Bowler,150000000,Afghanistan,GT
Hardik Pandya,All-rounder,150000000,India,GT
Virat Kohli,Batsman,150000000,India,RCB
Deepak Chahar,Bowler,140000000,India,CSK
Sanju Samson,WK-Batsman,140000000,India,RR
Harry Brook,Batsman,132500000,England,SRH
Shreyas Iyer,Batsman,122500000,India,KKR
MS Dhoni,WK-Batsman,120000000,India,CSK
Andre Russell,All-rounder,120000000,West Indies,KKR
Jasprit Bumrah,Bowler,120000000,India,MI
Liam Livingstone,All-rounder,115000000,England,PBKS
Glenn Maxwell,All-rounder,110000000,Australia,RCB
Shardul Thakur,Bowler,107500000,India,KKR
Harshal Patel,Bowler,107500000,India,RCB
Wanindu Hasaranga,All-rounder,107500000,Sri Lanka,RCB
Lockie Ferguson,Bowler,100000000,New Zealand,KKR
Avesh Khan,Bowler,100000000,India,LSG
Jos Buttler,WK-Batsman,100000000,England,RR
Prasidh Krishna,Bowler,100000000,India,RR
Kagiso Rabada,Bowler,92500000,South Africa,PBKS
Marcus Stoinis,All-rounder,92000000,Australia,LSG
Axar Patel,All-rounder,90000000,India,DC
Rahul Tewatia,All-rounder,90000000,India,GT
Shahrukh Khan,Batsman,90000000,India,PBKS
Washington Sundar,All-rounder,87500000,India,SRH
Shimron Hetmyer,Batsman,85000000,West Indies,RR
Rahul Tripathi,Batsman,85000000,India,SRH
Krunal Pandya,All-rounder,82500000,India,LSG
Tim David,All-rounder,82500000,Singapore,MI
Mayank Agarwal,Batsman,82500000,India,SRH
Shikhar Dhawan,Batsman,82500000,India,PBKS
Moeen Ali,All-rounder,80000000,England,CSK
Shubman Gill,Batsman,80000000,India,GT
Nitish Rana,Batsman,80000000,India,KKR
Varun Chakravarty,Bowlers,80000000,India,KKR
Venkatesh Iyer,All-rounder,80000000,India,KKR
